Example,Clean Score,Corrupted Score,Difference
0,5.849038019776344,2.8749503418803215,-2.974087677896023
1,5.8489124327898026,2.875150565057993,-2.9737618677318096
2,5.8489124327898026,2.875150565057993,-2.9737618677318096
3,5.851443037390709,2.8754218444228172,-2.9760211929678917
4,5.851349651813507,2.8755345717072487,-2.9758150801062584
5,5.851875767111778,2.8767687156796455,-2.9751070514321327
6,5.849038019776344,2.8749503418803215,-2.974087677896023
7,5.8519410490989685,2.875646822154522,-2.9762942269444466
8,5.8519410490989685,2.875646822154522,-2.9762942269444466
9,5.851349651813507,2.8755345717072487,-2.9758150801062584
10,5.8519410490989685,2.875646822154522,-2.9762942269444466
11,5.851349651813507,2.8755345717072487,-2.9758150801062584
12,5.851349651813507,2.8755345717072487,-2.9758150801062584
13,5.851443037390709,2.8754218444228172,-2.9760211929678917
14,5.8489124327898026,2.875150565057993,-2.9737618677318096
15,5.862164452672005,2.8765206448733807,-2.985643807798624
16,5.851349651813507,2.8755345717072487,-2.9758150801062584
17,5.851443037390709,2.8754218444228172,-2.9760211929678917
18,5.8489124327898026,2.875150565057993,-2.9737618677318096
19,5.849038019776344,2.8749503418803215,-2.974087677896023
20,5.862164452672005,2.8765206448733807,-2.985643807798624
21,5.849038019776344,2.8749503418803215,-2.974087677896023
22,5.851349651813507,2.8755345717072487,-2.9758150801062584
23,5.851443037390709,2.8754218444228172,-2.9760211929678917
24,5.851349651813507,2.8755345717072487,-2.9758150801062584
25,5.849038019776344,2.8749503418803215,-2.974087677896023
26,5.8519410490989685,2.875646822154522,-2.9762942269444466
27,5.851414725184441,2.8754535354673862,-2.9759611897170544
28,5.851875767111778,2.8767687156796455,-2.9751070514321327
29,5.849038019776344,2.8749503418803215,-2.974087677896023
30,5.849038019776344,2.8749503418803215,-2.974087677896023
31,5.851875767111778,2.8767687156796455,-2.9751070514321327
32,5.8519410490989685,2.875646822154522,-2.9762942269444466
33,5.8489124327898026,2.875150565057993,-2.9737618677318096
34,5.851405546069145,2.8756178244948387,-2.9757877215743065
35,5.851443037390709,2.8754218444228172,-2.9760211929678917
36,5.851414725184441,2.8754535354673862,-2.9759611897170544
37,5.8489124327898026,2.875150565057993,-2.9737618677318096
38,5.862164452672005,2.8765206448733807,-2.985643807798624
39,5.851875767111778,2.8767687156796455,-2.9751070514321327
40,5.851443037390709,2.8754218444228172,-2.9760211929678917
41,5.851875767111778,2.8767687156796455,-2.9751070514321327
42,5.851875767111778,2.8767687156796455,-2.9751070514321327
43,5.851875767111778,2.8767687156796455,-2.9751070514321327
44,5.8489124327898026,2.875150565057993,-2.9737618677318096
45,5.8519410490989685,2.875646822154522,-2.9762942269444466
46,5.8489124327898026,2.875150565057993,-2.9737618677318096
47,5.851875767111778,2.8767687156796455,-2.9751070514321327
48,5.862164452672005,2.8765206448733807,-2.985643807798624
49,5.851443037390709,2.8754218444228172,-2.9760211929678917
Average,5.8516731932759285,2.8756637991964817,-2.9760093940794468
