Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,-0.19931916147470474,-0.06244996190071106,-0.10995991080999375,-1.0599136384726963e-22,-0.12147523820400238,-0.1005070448666811,0.0004477296753702831,-0.12127742230892181,0.004719346333295107,-0.057109302384778855,-4.947323875967413e-05,-0.07905740790069103
1,0.0012141749123111367,0.0014376804931089282,-0.14832701295614242,-0.11141401320695878,-0.0030120450624963268,-0.06309867382049561,-0.11165715485811234,-0.03862120360136032,-0.12524839639663696,-0.06009238429367542,-0.08998770028352737,-0.11332219429314136
2,0.002533304113894701,-0.0037727738916873933,-0.019044536352157592,0.015710248351097106,0.01032581627368927,-0.005746197104454041,-0.035024429112672804,-0.007727383924648165,-0.004891238030977547,-0.04020448848605156,-0.004655989557504654,-0.012614109041169285
3,-0.00038549288408830764,-0.00813881519716233,-0.0017873878823593259,-0.00015011243056505918,-0.015308035835623741,0.0028727037739008665,-0.07628733649849892,-0.05891105115413666,-0.02820304237306118,0.017508022785186768,0.014285181760787963,-0.06392829656600953
4,-0.058225281834602356,-0.021531133353710173,0.00015560559928417205,-0.07035413071513176,-0.024544412493705748,-0.01674069844186306,-0.017335840258747338,-8.408088688156567e-05,-0.008660298995673657,-0.010708452742546797,0.02991380363702774,0.0021878384426236154
5,-0.08901880770921707,-0.012448645713739097,-0.06751681476831436,-0.07186739772558212,-0.10433224990963935,-0.17226058840751649,0.014295853450894356,-0.026392619162797927,-0.013555603420827537,-0.018575325246783906,-0.010905783316120505,0.04363739918917418
6,-0.05706427693367004,0.008197766169905663,-0.010837870314717293,0.005211480520665645,-0.011537539958953857,-0.003656967382412404,-0.030219908729195596,0.01275222860276699,-0.0010569015285000205,0.002420440851710737,-0.013003843352198601,-0.00667511036619544
7,-0.022204363346099855,-0.007971122935414314,-0.03191998951137066,0.001954503033775836,-0.07300401389598847,-0.012918571904301644,-0.061742480695247653,0.0005548536265268922,0.004082693513482809,-0.09213132187724113,-0.0044969462417066095,-0.08704776749014854
8,0.005252856612205505,0.004455516338348389,0.01879247382283211,0.00035748567432165147,0.0027277611941099165,-0.0011165457218885423,-0.011701734736561775,-0.0041640657186508175,-0.03819052040576935,-0.003674437887966633,-0.0019850257271900773,-0.015700918212532996
9,0.0026715711783617735,-0.08004345186054707,0.003777391463518143,-0.03764087155461311,-0.011114113740622997,0.010355255082249642,-0.0462945955991745,-0.05557155430316925,-0.04841396868228912,-0.040152880400419234,-0.035232535675168035,-0.010046523436903954
10,-0.03419314369559288,-0.01934669617563486,-0.04053454123437405,-0.025625910311937332,-0.04123332403600216,-0.0020869560167193412,-0.09230415530502796,-0.01405607609078288,-0.008649188354611396,-0.05018344208598137,5.060657858848572e-06,-0.013111373037099838
11,-0.06451199382543564,-0.059951233714818954,-0.0032178258895874026,0.007744791507720947,-0.0003935397230088711,-0.010107001960277558,-0.19528398036956787,-0.05681065887212753,0.0020502700284123422,-0.004518485069274903,-0.09109608858823776,-0.08686204444617034
12,-0.03869411140680313,0.12414219304919243,0.01574805174022913,0.0300252640247345,-0.12384935379028321,-0.06674549989402294,-0.02045092958956957,-0.0054188122972846035,-0.007388368062674999,-0.001452375203371048,-0.012827179990708829,-0.01437059536576271
13,-0.0028115253057330847,0.045295721516013146,-0.00784590293187648,-0.019518127962946892,-0.0005863566766493022,-0.04210052117705345,-0.017363365329802035,-0.022981250137090684,-0.024468380250036715,-0.005650772266089916,-0.0022456054389476776,0.02382520578801632
14,0.015776398852467538,0.0032823839411139488,0.06125579662621021,0.12438050486147403,0.019457308971323074,0.0009144697361625731,0.07556436978280544,-0.015194536671042442,-0.028470330238342285,0.009203972071409225,-0.09867780640721321,-0.016767049878835677
15,0.03457982830703259,0.07333923578262329,0.06087188571691513,0.01001271590590477,-0.06717810437083244,0.0038142330103437417,-0.046472742408514026,-9.766504214248073e-09,-0.004167929738759995,-0.007299503749236464,-0.007324312627315521,-0.0067667575553059574
16,0.036910388236865405,0.0751105380244553,0.23371361244469882,0.009699968472123146,0.05565321255475283,0.011915585994720458,0.01436398297548294,0.006581103056669235,0.012422569617629052,-0.05920957446098327,0.04457435287535191,0.11305680111050606
17,0.004101041974499822,0.03521635107696056,0.019686619676649572,0.04919215241447091,-0.0032389699295163154,-0.018258723206818105,0.02861777327954769,-0.022121121399104594,-0.007942547425627708,0.011249617785215377,-0.01748731017112732,-0.02378373682498932
18,-0.02358880003914237,0.10369223974645138,-0.005996325351297856,-0.03926818579435348,-0.02084004438482225,0.0015627438575029373,0.011913651525974274,0.04505111262202263,-0.0057364424434490505,0.06628720289096236,0.0032175822742283346,-0.02351854868233204
19,-0.020718946233391763,0.29676965773105624,-0.02622960291802883,0.25025428369641306,0.16565721318125726,0.018591559082269667,-0.0016509627550840378,-0.005984504800289869,0.005092981196939945,-0.00914179228246212,-0.07628181599080562,-0.007096227928996086
20,0.09107476904988289,0.14553121402859687,0.14035548731684686,0.013261562176048756,0.1421112497150898,0.17050063870847226,-0.08874540131539106,0.050283102169632915,-0.014533078072126955,0.04888568099588156,0.078451695330441,0.009868490360677242
21,-0.003976356275379658,0.01387342669069767,0.011378611624240875,0.007598491944372654,-0.014700113385915757,-0.02052429273724556,0.08064727500081062,0.09317893259227276,0.06311984576284885,0.20700149171054363,0.159230440184474,0.40038021076470615
22,0.00415196105837822,0.07046537026762963,-0.0009016263950616121,0.03427904322743416,0.08744247253984212,0.08172289147973061,0.10116165779531001,0.48278020390309395,0.08329961492680013,0.06043918970972299,0.3186240442469716,0.19920725870877504
23,0.1463205169700086,0.2787546957284212,0.24309750109910966,0.18418890994042159,0.2290690653398633,0.05052522782236338,-0.016820764504373073,0.056599874198436734,0.30525253601372243,-0.02469981785863638,0.016756636500358583,-0.013057803176343441
24,-0.02553307045251131,0.013457144480198621,-0.027414041757583617,0.03266181707382202,0.02620091300457716,0.10043041117489337,0.1750293964147568,0.02580868422985077,0.15375856414437294,0.15229465313255786,0.22027435079216956,0.07497585989534855
25,0.05464970245957375,0.03353269634768367,0.07569597542285919,0.0034451309591531755,0.245600675791502,0.06116546340286732,0.20231393098831177,0.017911934480071067,0.09713503651320934,0.07687710605561733,0.010257226824760437,0.06627145037055016
26,0.08306392550468444,0.22229259230196477,0.1547931106388569,0.16397260293364524,0.2627387720346451,0.12359784580767155,0.15585747987031937,0.16515665605664254,0.17818689361214637,0.1739767573773861,0.08177280515432357,0.10585954613983631
27,0.1781386587023735,0.1504712414741516,0.16424853444099427,0.14846659794449807,0.1400226452946663,0.20882543057203293,0.17199706465005873,0.1990357130765915,0.16102779507637024,0.01883967399597168,0.022952228486537933,0.19764769643545152
